,name,type,category,price,datakey,url
2090,Power Point i-learn smart start - Tiếng anh 1 (bộ 2).rar,tieng-anh-1,tieng-anh,150000,10728,https://drive.google.com/drive/folders/1ru3dp3lePl5Jz2pXft356f5riE_XFuVF?usp=sharing
2091,Power Point i-learn smart start - Tiếng anh 1 (bộ 1).rar,tieng-anh-1,tieng-anh,150000,10727,https://drive.google.com/drive/folders/1qgDQmDiHCMHNjUjnOr1uMifxj4OH0Smn?usp=sharing
2092,Chuyên đề bài tập luyện nghe luyện viết i-learn smart start grade 1.rar,tieng-anh-1,tieng-anh,150000,10726,https://drive.google.com/drive/folders/1ywqR2ZURjapVFXJ8mMtiG13WNbWje5IY?usp=sharing
2093,"Combo giảng dạy Tiếng Anh 1 Global Success Hoàng Văn Vân BGD (Trò chơi, Test, Audio, Lesson Plan, Flashcard, Workbook PPT, Picture).rar",tieng-anh-1,tieng-anh,299000,10081,https://drive.google.com/drive/folders/18-JJ0w2i6jeps84f5Dhw1TJvjUlbYRwk?usp=sharing
2094,Bộ bài giảng Power Point PPT đầy đủ - Tiếng Anh 1 Global Success - Cả năm.rar,tieng-anh-1,tieng-anh,299000,10080,https://drive.google.com/drive/folders/1iBzc9sh-ZzUGHtfLaFnLaEQ1COLk-NdU?usp=sharing
2095,Bộ đề kiểm tra tiếng anh 1 cả năm Global Success (kèm file nghe).rar,tieng-anh-1,tieng-anh,99000,10079,https://drive.google.com/drive/folders/10g4TI4Sf_LsDj7o62ZicermLQF48LJzN?usp=sharing
2096,Bộ sách Tiếng Anh 1 Global Success Hoàng Văn Vân BGD (Bản word).rar,tieng-anh-1,tieng-anh,199000,10078,https://drive.google.com/drive/folders/1qIDQt6UblXUFhkegadoqEzCMBazHmMm-?usp=sharing
2097,Listen Up Plus 1 - New Tests.rar,tieng-anh-1,tieng-anh,150000,10077,https://drive.google.com/drive/folders/1lkV730-lN-1nqkGyQChKGkDF32OEczNX?usp=sharing
2098,Sách Bài Tập BGD Tiếng Anh Lớp 1 - Global Success (Bộ 3).rar,tieng-anh-1,tieng-anh,199000,10076,https://drive.google.com/drive/folders/1l060qvFUDygKd3rooOENuPSaXHuVyLqt?usp=sharing
2099,"[Ielts, Toefl, Toeic] - Taking the toeic 1, 2 có file nghe - [File Word].zip",chung-chi-tieng-anh,tieng-anh,199000,1304,https://drive.google.com/drive/folders/1PDIIafPsqx8X20HoQxrvyULtzlf2wDXJ?usp=sharing
2100,"[Ielts, Toefl, Toeic] - 38 chủ điểm từ vựng thiết yếu cho IELTS 7.0+ - Tú Phạm - [File Word].zip",chung-chi-tieng-anh,tieng-anh,199000,1303,https://drive.google.com/drive/folders/1GFkI4AObFXciTch-_dicmS2HPw8C0EBC?usp=sharing
2101,KHBD GIÁO ÁN WORD DẠY THÊM – NGỮ VĂN 12- CẢ NĂM - [CHÂN TRỜI SÁNG TẠO],ngu-van-12,ngu-van-tieng-viet,399000,20867,https://drive.google.com/drive/folders/1IXB30fumbms-B7LhW_x1hcRT4wxQ9oDD
2103,GÓI ÔN LUYỆN THI TỐT NGHIỆP THPT FORM NĂM 2025 - MÔN NGỮ VĂN (Theo Chương trình giáo dục phổ thông 2018).zip,ngu-van-12,ngu-van-tieng-viet,399000,21757,https://drive.google.com/drive/u/0/folders/12wxwD43aPH7hZbV8bvvx5AnlXgacltGA
2106,KHBD GIÁO ÁN WORD CHÍNH KHÓA – NGỮ VĂN 12- CẢ NĂM - [KẾT NỐI TRI THỨC],ngu-van-12,ngu-van-tieng-viet,299000,20459,https://drive.google.com/drive/folders/1Frf2wF5xVRUenkQsDJQ8qtMeDiYhxPhQ?usp=drive_link
2107,POWER POINT CHÍNH KHÓA – NGỮ VĂN 12- CẢ NĂM - [KẾT NỐI TRI THỨC],ngu-van-12,ngu-van-tieng-viet,399000,20458,https://drive.google.com/drive/folders/1DloMP_slk8kwgnE54ZYQU1b-Uu7Cg8xd?usp=drive_link
2108,KHBD GIÁO ÁN WORD SÁCH CHUYÊN ĐỀ – NGỮ VĂN 12- CẢ NĂM - [KẾT NỐI TRI THỨC],ngu-van-12,ngu-van-tieng-viet,299000,20457,https://drive.google.com/open?id=1PKyauWG6oBUuA-QFJF2P0EblYmk0bqkK&usp=drive_copy
